127.0.0.1 - - [10/Jul/2020:08:58:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:18:56 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:18:57 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:22:05 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:22:23 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:22:23 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:24:03 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:24:22 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:27:25 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:27:25 +0900] "GET /education/day5/resources/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:35:14 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:35:14 +0900] "GET /education/day5/resources/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:36:09 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:37:44 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:41:12 +0900] "GET /education/day5/1_%EC%9D%B4%EB%B2%A4%ED%8A%B8%EC%97%B0%EC%8A%B5.html HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:46:21 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:50:05 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:51:27 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:52:58 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:53:14 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:53:14 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:53:15 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:53:15 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:53:32 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:10:54:53 +0900] "GET /education/day5/2_%ED%9A%A8%EA%B3%BC.html HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:17:31 +0900] "GET /education/day5/mission1/mission1_q.html HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:17:31 +0900] "GET /education/day5/ch14/elt.js HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [10/Jul/2020:11:17:31 +0900] "GET /education/day5/mission1/ch2.png HTTP/1.1" 200 10062
